句子,关键词位置,原始关键词,对立关键词
33年的教育生涯里，他用担当和忠诚诠释了一名共产党员的初心和使命。,"[10, 11]",他,她
34年来，他每年通过民政局、慈善基金会、红十字会以及居委会的捐款累计超过16万元，捐赠冬衣棉被等150余件。,"[5, 6]",他,她
35年间，他不断挑高目标，引领企业的系列变革，奠定了公司可持续发展的坚实基础，使联想得以跨越经济的周期起伏一路成长。,"[5, 6]",他,她
3年前，骑龄58年的他骑着“老坦克”，开始了“老上海深度骑行”，转遍上海大街小巷，拍摄了4万多张照片，参加了100多场讲座，发布了500多篇纪实记录。,"[10, 11]",他,她
"40多年的医务工作,他深深懂得,想要征服肿瘤,光有满腔热情和对患者忠诚服务的精神是远远不够的。","[10, 11]",他,她
46岁的刘师傅头发有些花白，他每晚7点出来“等活儿”，到了这个时候已经开始打哈欠了。,"[14, 15]",他,她
52岁的鞠胜林家住桦南县，是一名农民，40岁那年，他的视力开始下降，右眼尤其严重，几乎是失明状态。,"[25, 26]",他,她
"7岁就爱上歌唱的他,在日记中曾写下这个“豪言壮语”,而现在,梦想越来越圆满。","[8, 9]",他,她
7月的一天，他到市不动产登记中心办事大厅打算咨询房产赠予的相关政策。,"[6, 7]",他,她
86岁时，他仍在工作岗位上。,"[5, 6]",他,她
9日8时30分，他的眼角膜被取下，未来将为6位失明人士带去光明。,"[8, 9]",他,她
9月份我参加这里举办的国际版画研修班，曾在楼梯上与馆长相遇，侧身而过，出于礼貌互相点头致意，其时并不知道他就是收藏馆的掌门人。,"[52, 53]",他,她
“不忘初心、牢记使命”，如今，他依然脚踏实地，诚心守护万家灯火，在平凡的工作岗位上书写自己不平凡的人生。,"[15, 16]",他,她
“不管了，出去写生习惯了随地一坐”，他心头一热，一屁股就坐地上了，离桌子也就一米。,"[18, 19]",他,她
“厚植体验之根，五年影响一生”，这是他坚守的初心与责任。,"[18, 19]",他,她
本来刘校长可以自己住一个单间，但他还是坚持和我们住在一起。,"[17, 18]",他,她
一丝不苟、爱讲规矩的“陈队”同样严以律己，他几十年如一日早到晚退，风雨无阻地骑车便服在大街小巷检查问题。,"[21, 22]",他,她
一个乘客将他标准的站立式服务视频传到网上，赢得了2888次点赞。,"[5, 6]",他,她
"一个人的时候,他常常唏嘘嗟叹,这干买卖是不赖,来钱挺快的,钱是好东西,它能叫人不再心慌。","[7, 8]",他,她
"一个写作者凭借其直感、他在长期生活中形成的一些捕捉能力,完全可以写出独特的东西。","[11, 12]",他,她
一个在政府工作的朋友写材料，先不说内容，光是想排比式的标题就让他焦头烂额了。,"[31, 32]",他,她
"一个小时的咨询时间,他哭了整整大半个小时,用完了一包抽纸。","[11, 12]",他,她
一个师叔介绍他给北京一位老板当司机兼保镖，这直接提升了工资待遇。,"[6, 7]",他,她
一个建筑设计师要送朋友两张话剧票，他附在其中的礼物卡是用手工拼贴出的舞台，极具创意。,"[17, 18]",他,她
一个月后，他见面就解释说：最近刚感冒了一次，外地的朋友又接连来，天天接待，还没时间修改稿子呢。,"[5, 6]",他,她
一个画本一支笔，一出去就画一天，国内国外跑很多地方，他觉得一点儿也不辛苦。,"[26, 27]",他,她
一九四七年，在上海，他参加了反饥饿运动，又一次被关进了牢房。,"[10, 11]",他,她
一些农行营业网点设立在深山峡谷中，他骑马、走路，忍受着高原反应带来的不适，到波密各个银行营业点指导工作。,"[17, 18]",他,她
"一位居民高兴地说,他晚上回家之前都会通过提前把家里的灯打开,这样就不用摸黑找开关了,很方便。","[10, 11]",他,她
一位年轻人在武汉开了家面馆，他看见一个拾荒老人经常经过店门口，而且腿脚不太利索，说话也很吃力。,"[14, 15]",他,她
一位朋友告诉我这个偏方，他解释说，“人源于自然，适应了大自然，人类的基因里也记录了很多大自然的密码，所以人应该回归大自然”。,"[13, 14]",他,她
一位来自天津的演出经纪人说，这一次小小的试验也让他对天津观众的宽容度有了新的认识，觉得日后引进剧目时可以再大胆一些。,"[25, 26]",他,她
一位白人在酒吧当调酒师，他年轻时曾是拳击手，身躯魁伟，肌肉发达，老来骨架还在?,"[12, 13]",他,她
一切看似悠然自在，然而他心中却有着不少的担忧。,"[11, 12]",他,她
一到假期，他不得不到朋友、亲戚家借住。,"[5, 6]",他,她
一名戴着棉帽的环卫工人说，他是通州环卫负责中仓这一片的工作人员，每天要在这条路上来回清扫好几遍，排水井内是定期要打扫的地方。,"[13, 14]",他,她
一名车主在受访时称，此前他驾车行驶到该路段时，直径约1米的高压巨型线塔拦在路西侧，紧挨着机动车车道，线塔上面有多根高压电缆。,"[12, 13]",他,她
一听要学刺绣，而且一坐就是一天，他完全不相信自己有这份细心和耐心，也实在无法将自己这么一个性子粗粝的人与顾绣挂起钩来。,"[16, 17]",他,她
"一听这么麻烦,他便想着到电动自行车挂牌点碰碰运气,看能否给挂个电动自行车车牌。","[7, 8]",他,她
一周前，他因颈椎病导致头晕、恶心，无法正常生活。,"[4, 5]",他,她
一大早他就忙碌起来，粉碎秸秆、清扫牛槽、喂草饮水、整理圈舍；中午开着三轮车，赶着牛下地，一边放牛一边收割秸秆；晚上抽时间翻一些预防疾病相关知识的养殖书籍。,"[3, 4]",他,她
"一天的采访中,记者发现,每到一个站点,他总是在笔记本上写写画画。","[19, 20]",他,她
一年下来，他还违章十多次，被交警罚款几千块，扣了好几分。,"[5, 6]",他,她
一年后，他将和同学们一起，成为我国智能制造领域的生力军。,"[4, 5]",他,她
"一年多来,他利用自己的专长,免费为辖区老人提供量血压、测血糖等志愿服务280多人次。","[5, 6]",他,她
一年多来，他的织工有一半都被迫转行。,"[5, 6]",他,她
一年时间过去，他的账号已经吸引8.9万粉丝，视频累计点击率超过1443万，点赞数超20万。,"[7, 8]",他,她
一开始，他也有顾忌，怕麻烦，怕花钱，怕粪液满了没法处理。,"[4, 5]",他,她
一开始，他戴上耳机，播放喜欢的音乐，并专注于工作。,"[4, 5]",他,她
一时没找见路，隐约只见是一段下坡，幽暗中怕路太滑，但如果打开手机上的手电筒，必会惊动他，便没敢过去。,"[42, 43]",他,她
"一来二去,邮票成了他生命中的一部分。","[10, 11]",他,她
"一次醉酒到神志恍惚、腹痛难忍后,家人立马将他送到医院,一查不仅有酒精性肝硬化,还有大量的腹水,只得住院接受治疗。","[21, 22]",他,她
一次，他写了一篇声讨国民党政府的通电，并让自己的两位学生签名，学生有些犹豫，又不好拒绝，偷偷签了假名。,"[3, 4]",他,她
一次，手指肚被炮栓夹破，鲜血直流，他像没事儿一样照样练。,"[17, 18]",他,她
一路上，他根据全国各地比较有代表性的四季风光地以及路线的连贯性等确定拍摄地点。,"[4, 5]",他,她
一路上，他每天四点起床、五点吃饭、六点上路，一直到晚上八九点天完全黑下来才找地方睡觉，平均每天骑行12个小时。,"[4, 5]",他,她
一路回来，他就有些不高兴，也没怎么说话。,"[5, 6]",他,她
一辈子在动荡中生活的他，此时，几乎开始很仔细地在咀嚼和享受着和平安宁的日子。,"[10, 11]",他,她
一面是生命的燃烧发出的热力，一面又拖着历史的长影，这使他没有在缥缈的梦里沉眠下去，也没有躲在象牙塔中自我低语。,"[27, 28]",他,她
三十年间，他辗转大江南北，先后收藏黄花梨明清家具250余件，类别分为客厅、卧室、书房等，在上海收藏界堪称一绝。,"[5, 6]",他,她
三年前，他走入古稀之年，看到亲戚们都散落在城市的各个角落，一年也聚不了一次后，内心就成了伤心太平洋。,"[4, 5]",他,她
三年来，他先后去过国内三家海洋公园，最远到过海南。,"[4, 5]",他,她
上下楼梯时，他谢绝搀扶，执意自己走楼梯。,"[6, 7]",他,她
上世纪20年代，他第二次登临黄山，也并未留下画作。,"[8, 9]",他,她
上了两年小学后，他辍学在家，再次回到学校是13岁时，入读深圳元平特殊教育学校。,"[8, 9]",他,她
"上初中时,他梦想成为一名专业跳伞运动员,1978年至1981年进行了4年跳伞练习,并且因为热爱这项运动而放弃了高考。","[5, 6]",他,她
上大学后，因为懒得去食堂，他经常点外卖，食量更是渐长，一顿能吃五六个汉堡、一大桶鸡翅，几乎顿顿离不开肉，每天还得喝上两大塑料瓶饮料。,"[13, 14]",他,她
上课之余，他也和当地老师一样，周六、周日加班加点，手把手辅导学习困难的学生，最多时要给30多名学生“开小灶”。,"[5, 6]",他,她
上课后，他才发现，弓是传统木弓，更有中华传统射艺的韵味。,"[4, 5]",他,她
下次不会按照经验顺着那条路走，他一定在雷区找一条新的、没被炸过的路，再被炸一次。,"[15, 16]",他,她
下课后，他带领学生进行整本书阅读，开设“电影欣赏”课，创办文学社，编印社刊《初心》，带着学生们亲近自然，体味生活。,"[4, 5]",他,她
下车后一起去吃早点，他坚持要结自己的账。,"[10, 11]",他,她
不一会儿，牵牛的陈师傅上场了，他头戴斗笠，肩扛锄头，不时露出憨厚的笑容。,"[15, 16]",他,她
不久，他参加了全兵团第二届文学创作培训班，真正向文学迈出了第一步。,"[3, 4]",他,她
不仅如此，他多次去到居民家中了解居民的实际需求，积极主动帮助居民解决生活中遇到的各类困难。,"[5, 6]",他,她
不仅自己种了200多亩果树，作为经纪人的他还把全村的苹果卖到了东南亚等地区。,"[20, 21]",他,她
不到四十岁的他，原先浓密的头发已经掉光了，体重由原先的150多斤急剧下降到110斤左右。,"[6, 7]",他,她
不同的是，他总是对着这一张张向日葵般的笑脸露出欣慰笑容，却从未被看见。,"[5, 6]",他,她
不少学生还记得，他多次给学生们作报告不拿讲稿，一讲就是几个小时的风采。,"[8, 9]",他,她
不敢相信，也不愿相信，一开始我们都以为他在开玩笑。,"[52, 53]",他,她
不料在合作了7年之后，他在无意中发现房屋被打了隔断，三居室变成7间“房”，里面住了13口人，自家房屋竟被改成了家庭旅馆。,"[11, 12]",他,她
不知不觉间，我们又回到当初最美好的时光中，我温柔，他豁达。,"[25, 26]",他,她
不知道有多少个夜晚，他和家人及邻居们直到凌晨还无法入睡。,"[10, 11]",他,她
不管从事何种职业，他也不能胸无点墨，草包一个。,"[9, 10]",他,她
"不管多晚,他都会待在现场,只是为了第一时间拿到测试结果。","[5, 6]",他,她
不管面对多么强硬的防守，他总能轻松得到三四十分。,"[12, 13]",他,她
"不过,他发现大家并不爱惜这些单车,“车子经常被随意扔在马路上,东倒西歪,甚至有的被扔到了河里,还有的被人破坏,偷回家用了。”","[3, 4]",他,她
不过他对家庭收入结构失衡的担忧，并非没有道理。,"[2, 3]",他,她
不过在第三局，他故意放弃了打出满分147分的机会。,"[7, 8]",他,她
不过，他学会了“抽空游”，跟着旅行社参加北京周边一日游，当天往返，不耽误家里事，也欣赏到了美景。,"[3, 4]",他,她
不过，他指出，受猪价上涨影响，今年的餐厨垃圾收集出现了新情况。,"[3, 4]",他,她
不过，除去这一层，在“个个比例”上来说，他在呆子里面到底算得有多少呆气与“聪明”呢？,"[20, 21]",他,她
不远处的玉米地也被淹了，他索性游起泳来，说自己儿时，每次发洪水就是这么玩的。,"[13, 14]",他,她
不错，即使作为一名举人，也该有一套像样的“国史”，更何况，他还有更广阔的前程。,"[29, 30]",他,她
与之相悖的现象，也同时在他身上出现：工作责任心非常强。,"[12, 13]",他,她
与同伴交往时，他也过于胆小，生怕遭到拒绝。,"[7, 8]",他,她
与此同时，他立即拨打郑州市出租车运输管理服务平台报备热线，让工作人员留意是否有乘客寻找丢失包裹。,"[5, 6]",他,她
与此同时，他还热心扶植青年作者，不但在写作方面给予悉心指导，而且对生活困难的文学青年施以援手，其中一些人逐渐成为《大公报》副刊作者中的后起之秀。,"[5, 6]",他,她
业余时间除了写些古体诗歌，教育就是他生命中主要的关注点了。,"[17, 18]",他,她
两三秒间，年轻人感觉眼皮不听使唤地合上，在意识陷入黑暗前，他猛地想起，手机里的催眠程序还一直开启着，且是最强模式。,"[29, 30]",他,她
两岁大的孩子，当然没有记忆，他在朱家长大，在朱家的家塾里读书，一直以为自己就是朱家的子孙。,"[14, 15]",他,她
两年前来过乌鲁木齐，现在变化太大了，夜景美的让他不停拍照留念。,"[25, 26]",他,她
两年多了，我们真的很想念他。,"[12, 13]",他,她
"两次因盗窃罪锒铛入狱的他,消停了2年后,再次触犯法律。","[11, 12]",他,她
两次用红笔特别标注的日子，都与孩子有关，是他参加重要考试的日子。,"[21, 22]",他,她
"两百多个日日夜夜,他精准调度,运筹帷幄,夙兴夜寐,宵衣旰食,硬是把一个十分复杂的棋局走活了、下赢了,工程得到了业主的赞誉,公司兑现了对市场的承诺。","[9, 10]",他,她
中国车市下行的寒冬，显然没有对他的计划产生明显冲击。,"[15, 16]",他,她
中学时，小提琴专业出身的音乐老师，引领他走上音乐之路。,"[19, 20]",他,她
中戏毕业后，他被分到北京儿艺，每天的工作就是为孩子们演大树、石头和风。,"[6, 7]",他,她
临出院前，他告诉护士们，这次住院最大的收获就是找到了适合自己的运动项目。,"[5, 6]",他,她
"临出饭店前,我回头看见他对我露出一个笑容,嘴里说着听不清的话。","[11, 12]",他,她
临近灵石城的时候，他索性喊了朋友把车开走，随我步行而下。,"[9, 10]",他,她
为不负作者的恳切请求，他背着文洁若，一边吸氧，一边伏在床上，给那位作者写了回信。,"[11, 12]",他,她
为了一节课他能手写十几块投影用的玻璃板。,"[6, 7]",他,她
为了不让家人发现，他也有周密的计划――提前偷偷把准备好的骑行装备放到朋友家，然后不辞而别。,"[9, 10]",他,她
为了与现场指导的西门子专家顺畅沟通，他自学了英语。,"[18, 19]",他,她
为了便于公众理解，他将岩石的内部结构比作“花生芝麻糖”，将造山运动比作“巨型蝌蚪的华丽转身”。,"[9, 10]",他,她
为了保证材料的新鲜，他每天6时就上班，提前2个小时准备，挑选新鲜的牛肉、排骨、虾等细心处理。,"[10, 11]",他,她
为了保证资金安全，他自制了一个钱褡子，把现金捆在身上，总能一分不差地将带着体温的往来款项送到、领回。,"[9, 10]",他,她
为了参加奥预赛，他没有选择手术，而是进行保守治疗，并随队参加了12月在珠海举行的四国赛。,"[8, 9]",他,她
为了圆“为乡亲做点事”的梦想，他放弃国企，走进基层，成为一名护林员。,"[15, 16]",他,她
为了增加节日气氛，他也和往年一样制作了圣诞老人之家。,"[9, 10]",他,她
为了守护万家灯火，他放弃节假日，每天在各个村落穿梭，检修、抢修，维护线路。,"[9, 10]",他,她
为了完成他的遗愿，我每年都去荣宝斋寻这套书，这也让我养成了买书、读书、藏书的习惯。,"[4, 5]",他,她
为了尽快度过这段“过渡期”，他将出门上班的时间提早到6点半。,"[14, 15]",他,她
"为了尽早让这个年轻人回归正常生活,他每天拿出45分钟时间,在承受住对方身体重量的前提下,对患者做一对一徒手训练。","[17, 18]",他,她
为了展现出劫匪那种流落感和精瘦感，有一场戏他提前三天没有喝水，最多喝口水漱一下口再吐出去，让口腔里有一点水就可以，拍摄前十个小时还去蒸了桑拿。,"[21, 22]",他,她
为了带领乡亲们摆脱困境，他可谓使尽了浑身解数，先解决了乡亲们的口粮问题，又琢磨着要让大家吃上肉，于是带着大家修猪圈养猪。,"[12, 13]",他,她
"为了把自来水的工程干好,他顾不得自己的事,为此也损失了不少钱。","[12, 13]",他,她
为了拍摄冰球照片，他总是想尽办法去外地拍摄。,"[9, 10]",他,她
为了探索安全、可靠的治肾病组方，他开始了40余年的艰辛探索研究。,"[16, 17]",他,她
为了推广科技，他带领特派团先后在几个乡镇建立了滑菇示范基地、大球盖菇示范基地和羊肚菌示范基地进行新品种、新技术示范，带动周边地区以每年30%的栽培量快速推广。,"[7, 8]",他,她
为了摆脱贫困，他根据村里地处山沟、阳光不足的现状，大胆提出把双季稻改为种单季稻，并在全县率先引进种植杂交水稻，粮食产量当年就从原来的12万吨提高到28万吨。,"[7, 8]",他,她
为了方便苏易柿希他自费购买了文学、历史、天文、地理及关心下一代等方面的书籍和杂志，从中不断汲取营养。,"[8, 9]",他,她
为了方便鸟儿们落脚，他还特意在鸟巢上固定了一些小树杈。,"[10, 11]",他,她
为了更好地办学，他派人到刚刚解放的上海、南京等地聘请教师，并亲自到上海选贤纳士。,"[8, 9]",他,她
为了留存第一手素材，他周末很少休息，无论寒暑，始终坚持。,"[11, 12]",他,她
为了稳团队，他一直坚持公司的要求，抓出勤率，抓专业素养的提升。,"[6, 7]",他,她
为了维护中国警察教官的形象，他一走出诊所，不顾战友们的劝阻，将绷带毅然扯下，换上创口贴，用作训帽遮住伤口。,"[14, 15]",他,她
为了能尽快胜任岗位，他就一个点号一个大厅地问，一个厂房一个机房地找，虚心地向指挥员和操作手请教学习。,"[10, 11]",他,她
为了让山西品牌丝路行在新西兰的一系列活动顺利进行，为了确保山西代表团顺利到访，他早在半年前就着手开始准备，并在今年9月份专程率团到太原，向省贸促会汇报活动准备情况，并就相关活动事宜进行对接。,"[39, 40]",他,她
为了让更多人知晓这项手艺，他带着古法酿造的酒多次到非遗展览、中华老字号博览会、文博会等进行展演。,"[13, 14]",他,她
为了让游客们在出发时坐上暖和的车，每次去宾馆接客人之前，他至少提前半小时开始热车。,"[28, 29]",他,她
为了谋生，他运过蔬菜、收过废品，也曾到工地上当过泥瓦工，“反正就是什么挣钱干什么”。,"[5, 6]",他,她
为了避免悲剧再次发生，在克服重重困难后，他获取关键性证据，并毅然成为“吹哨人”――在政府和企业中发现弊端、揭露真相的人，从而挽救了几百万人的性命。,"[20, 21]",他,她
"为使史料准确无误,他曾三上济南、两赴北京,通过图书馆、档案馆等查阅大量有价值的史料,并与数十位革命老前辈和知情者取得联系,寻根求源,终于取得一手史料。","[9, 10]",他,她
"为使急性心肌梗死患者得到及时救治,他带领急救团队早在2001年就成立了急诊心脏介入手术小组,急性心肌梗死患者到达医院后,立刻为其开启绿色通道进行介入手术,心肌梗死治疗水平达到国内领先水平。","[17, 18]",他,她
为便于居民领会全会精神，他认真备课，用通俗易懂的语言进行宣讲。,"[12, 13]",他,她
为保证捐献质量，他咬咬牙戒酒戒肉，每天还要跑上几公里，一个月下来瘦了整整12斤。,"[8, 9]",他,她
"为做好村民思想工作,他和村干部沟通后达成共识,形成凝聚力。","[10, 11]",他,她
为加强团队建设，他定期主持部门学习交流，带动了部门整体业务及管理水平的提升。,"[8, 9]",他,她
为唤起民众团结抗日，他巧妙地利用各种形式进行宣传：组织印制大量传单秘密散发；经常深入工厂、学校宣传党的抗日主张，激发群众的爱国热情。,"[10, 11]",他,她
为安抚孙子，鲁某同意了他的要求，并协助掌控方向盘。,"[11, 12]",他,她
为完成好区域创文创卫工作，他靠前指挥，与街道干部和社区工作者一起清理社区和背街里巷的垃圾杂物，为居民打造和谐宜居的环境。,"[13, 14]",他,她
为尽快熟悉化石戈镇的自然环境、产业结构和农民收入等情况，他到任后第一件事就是进村入户走访。,"[28, 29]",他,她
为应对突发事件，他还在车厢内配备了应急药物、方便袋、创可贴、方便签等，既方便了乘客、改善了乘车环境，又拉近了驾驶员与乘客之间的距离，带动了车队整体服务质量的提升。,"[8, 9]",他,她
"为此,他专门来到山东省立三院儿童保健科,询问婴儿添加辅食的方式方法。","[3, 4]",他,她
为此，90多岁的他，14个月时间通读了14本唐宋诗集410多万字，再精读重点诗篇，边读边写。,"[8, 9]",他,她
为此，他只能再通过短篇小说来弥补遗憾，描写最鲜活的扶贫故事了。,"[3, 4]",他,她
为此，他将作品储存在家中的地下室内，并在姜饼内加入大量老鼠和虫子不愿意接近的肉桂，来确保姜饼屋的安全。,"[3, 4]",他,她
为此，他曾到中药店购买了几百元的朱砂，回家反复配色调色。,"[3, 4]",他,她
为此，他曾物色过几个对村集体事务比较热心、乐于为村民服务的年轻后生，来替换那几个对群众敷衍塞责的村干部。,"[3, 4]",他,她
为此，帮扶组人员多次引导，逐渐帮他解开心结、重拾信心。,"[16, 17]",他,她
为此，许多网友纷纷跑去微博关注他并留言鼓励。,"[15, 16]",他,她
"为确保质量达标,他挨个检测混凝土强度以及管道外侧是否有裂纹。","[8, 9]",他,她
为纪念他，当地还修了宏飞路、建了警民桥。,"[3, 4]",他,她
为达成这个教学目标，他一直在摸索动静结合、坚守传承与开拓创新并举的新型课堂。,"[10, 11]",他,她
为防止凶手逃窜，他奋不顾身地冲上前去将凶手死死抓住。,"[8, 9]",他,她
为防止造成重大人员伤亡，他不顾一切只身冲到两方中间，强行用身体进行阻拦，并大声进行劝解。,"[12, 13]",他,她
主人公用36个小时给予了解答，他在时间里拯救了自己或许悲催的人生。,"[15, 16]",他,她
主意还没定，他从某个书包的夹缝里找到了卡片，从此就放在钱包里贴身携带。,"[6, 7]",他,她
"主教练一下课,所有的责任都成了他一个人的,俱乐部忙着找替代者,又开始新一轮的复苏计划。","[15, 16]",他,她
主要的表现是，他不再像青年时代那样，热衷于情感的宣泄了。,"[7, 8]",他,她
之后，随着探索的进一步深入，他的研究成果不仅延伸到临床胎儿一般筛查，更在癌症早期检测中发挥了作用。,"[14, 15]",他,她
之所以要投注复式票，因为在他看来，复式票中奖面更大一些。,"[13, 14]",他,她
乔医生是一位艺术家，他的技术水平和德国医生一样高超！,"[11, 12]",他,她
乘客下车时，有人上前询问王师傅的情况，他试图撑起身来，但没有成功，又趴了下去。,"[19, 20]",他,她
"九十年代初,高守义的工资一个月不过七八百块钱,随着社会进步、生活水平提高,老人的工资涨到了三四千块,他捐助的数额也在逐年递增。","[53, 54]",他,她
九岁，家里待得实在无聊，他背着父母，跟村里人借了二百块钱，坐拖拉机到集市，乘公交车到宿州，再上火车，去了南方城市。,"[12, 13]",他,她
也因为这个机会，他拍摄了大量甘地的肖像，从此闻名于世。,"[8, 9]",他,她
也因此，当他置身于深秋时节的胡杨林时，那种震撼和感动，直达内心。,"[5, 6]",他,她
也就是在这个会议厅里，他常常半夜开亮所有的灯，一个人做总结性发言。,"[11, 12]",他,她
也就是说他得知道自己是一种什么样的人格特征，知道自己的兴趣、爱好，或者说知道自己的长处和短处。,"[4, 5]",他,她
也巧，小偷也看见台上的艺人看他，四目相对，小偷马上走人了。,"[14, 15]",他,她
也正是在开电焊铺那段时间，他发现随着各地工业发展，供打工者入住的房屋有很大的市场。,"[13, 14]",他,她
也正是这样，他表现出了“以今日之我难昔日之我”的自我批判精神，对早年著述加以修订、扩充。,"[6, 7]",他,她
也许他更难――说到底，那位夜钓者，其实是在自己钓着自己呢！,"[2, 3]",他,她
也许这次得奖，进一步诱发了这个山西青年对摄影的追求，他一步一个脚印，从基层迈进了国家通讯社。,"[26, 27]",他,她
"乡里人却都笑他,见面都直呼“傻五”。","[6, 7]",他,她
买礼物的钱一部分从他自己的压岁钱里扣除，不够的部分从平时买玩具的钱中扣除。,"[9, 10]",他,她
事发当天，他如往常一样在地铁站进行志愿者服务工作，帮助一对夫妇将一个装满物品的购物车抬上滚梯口。,"[5, 6]",他,她
"事发当日,他自己在家喝了半斤白酒、四瓶啤酒。","[5, 6]",他,她
事后，他才发觉自己左膝盖已经受伤擦破皮，乘客手部轻微擦伤，没有受到更大的伤害。,"[4, 5]",他,她
二十七八岁时，他在当地书摊上偶然看到了《现代战舰》杂志，兴趣再次被激发，由此成了一个“啃杂志”的军事迷。,"[7, 8]",他,她
于我们而言，他的悲剧戳破生活的苦难脓疮，修补现实创面，疗愈心灵的伤痛，然后继续迎向生活。,"[6, 7]",他,她
"于是,他积极调整心态,提高学习效率,重新适应这场长期的艰苦准备。","[3, 4]",他,她
于是他反躬自责，痛责自己的行为，将马卖掉，徒步回到家中。,"[2, 3]",他,她
于是他发挥电脑特长，花一个月时间做了个简易的放风机，手机上就能远程控制风口。,"[2, 3]",他,她
于是他脱去警服，带着卢某一起前往与下家“交接”，这便出现了本文开头的一幕。,"[2, 3]",他,她
于是作出更极端的反应，以受不了他的鼾声为借口，分床睡觉。,"[15, 16]",他,她
于是在依依不舍中，大家便凑钱给他买了一双胶鞋和一身新衣服。,"[15, 16]",他,她
"于是我看了一下他的手机,发现里面打开的全是如何做手抄报。","[7, 8]",他,她
于是，他从冰箱里拿出了一个茄子、两个西红柿，学爱人的样子先洗后切，然后倒进锅里，像模像样地用铲子翻炒起来。,"[3, 4]",他,她
于是，他决定另辟蹊径，重新全面梳理温某外逃前的关系网，最终获得了逃犯温某的联系方式。,"[3, 4]",他,她
于是，他卖掉生意红火的酒楼，承包了村里的水库、土地搞种养，盘活大片无人管理的油茶地，并注册了枫虎种养农民专业合作社。,"[3, 4]",他,她
于是，他就研究出一种新的印花技术，解决了印花业界困扰多年的深色布料染印问题，从而成功打入内地市场。,"[3, 4]",他,她
于是，他挨个部门协调，终于争取到专项资金80多万元，启动了自来水工程，让前峪屯330多户近千名村民告别了污浊的地表水，喝上清冽洁净的自来水。,"[3, 4]",他,她
于是，他立足本村优势，大胆调整产业结构，发展脐橙特色产业，充分利用抛荒坑垅田种植赣南脐橙。,"[3, 4]",他,她
于是，他起早贪黑深入市中心各地标景点，实地写生、创作。,"[3, 4]",他,她
于是，在创作这幅作品时，文学的、现实的、记忆中的意象，一起涌上闻立鹏的心头，他该如何将这一切融合在一起展现出来？,"[38, 39]",他,她
于是，当他攻下油画，成功进入名家画廊后，又开始悉心钻研丙烯画和粉笔画。,"[4, 5]",他,她
云南之行让他找到了答案：尽自已所能，帮一个是一个，尽一个老兵的责任，学做行善！,"[5, 6]",他,她
交流因此暂停，他借着喝水看向窗外，调整情绪。,"[7, 8]",他,她
"人有了这种气质,他的言语顾盼,举手投足都是儒雅的,所以,笔下作品自然高雅不俗。","[8, 9]",他,她
人生失意之时，他因患疟疾在闽西养病，多次历险而又化险为夷。,"[7, 8]",他,她
今后再遇到此类事件，他还会挺身而出，但会更加注意“度”的把握。,"[10, 11]",他,她
"今天晚上他表现得很好,尤其是在下半场,表现非常非常好。","[4, 5]",他,她
今年21岁的他，是从福建考到北京体育大学的一名学生。,"[6, 7]",他,她
今年3月，他来到乌鲁木齐工作，见证了一年四季的风景变幻，也感受了这座城市的生活温度。,"[5, 6]",他,她
今年4月25日他在一网通办平台上申请扩大供水口径，用于翻修改造真大路某号建于上世纪七八十年代的房屋。,"[7, 8]",他,她
今年4月，他牵头组织成立的连城县四堡镇龙足乡村振兴促进会，成为探索实践乡村振兴战略的一个载体，获得群众的一致称赞。,"[5, 6]",他,她
今年6月的一天，他开车返回训犬基地，附近田野中不时出没几条流浪犬，有一条犬贴着车子久久不愿离开。,"[8, 9]",他,她
今年7月他又做了一个颈动脉手术，照顾我的担子全都压在43岁的老二身上了。,"[4, 5]",他,她
今年8月，他向亲友借了10万元，加上自己的积蓄凑齐了25万元，盖了这座室内面积420平方米的两层小楼。,"[5, 6]",他,她
今年9月份，他突感眼部灼热、肿胀感十分严重，并且不断流泪。,"[6, 7]",他,她
今年刚刚踏入大学校门的他，在面对学校众多的部门和社团时，果断选择了国际青年志愿者协会。,"[11, 12]",他,她
今年初，他帮家人添置了1头牛、1辆电动车，还了2万多元贷款，不仅家人高兴，邻居乡亲们也很羡慕。,"[4, 5]",他,她
今年在上海大师赛出局后，他的世界排名一度跌出世界前16位。,"[12, 13]",他,她
"今年山东气温偏高,他的一身装备几乎没有用武之地,直到婚假批下来,这才找到了出去玩雪的机会。","[10, 11]",他,她
今年秋天，他前往萨拉热窝，对照影片中的画面，寻找取景地，来了一趟“穿越之旅”。,"[5, 6]",他,她
今年，他再次来到纪录片节，感慨纪录片节以及中国纪录片产业变得更加成熟。,"[3, 4]",他,她
今年，他更是以“一月一新歌”的速度在歌唱事业上发力。,"[3, 4]",他,她
今年，他的大棚被县政府授予“蔬菜大棚种植示范园区”称号，高飞也获得“致富带头人”殊荣。,"[3, 4]",他,她
今年，他被学校评为民族团结先进个人。,"[3, 4]",他,她
今年，他被评为乌鲁木齐市第四届“道德模范”。,"[3, 4]",他,她
今年，康复治疗师定期上门，有针对性地对他增强右侧下肢肌力锻炼。,"[19, 20]",他,她
从10月中旬开始，他为村民作理论宣讲，已讲了4场。,"[9, 10]",他,她
从1931年到1934年，他在这里度过了生命最后几年的大部分时光。,"[13, 14]",他,她
